r01		r02		r03		r10		r12		r13		r20		r21		r23		r30		r31		r32		
6012		5895		3544		6002		3909		3595		5984		3900		2552		3507		3605		2528		
6044		5984		3567		5998		3886		3628		Err		3895		2575		3539		3609		2519		
5998		5862		3539		6007		3938		3609		5895		3928		2486		3525		3605		2533		
6035		5923		3516		5993		3919		3600		5937		3919		Err		3539		3614		2528		
6021		5956		3544		6016		3905		3595		5876		3923		2514		3521		Err		2500		
6002		5881		3535		6044		3909		3609		5975		3881		2477		3544		3623		2519		
5998		5890		3549		Err		3900		3609		5951		3891		2561		3511		3623		2561		
5965		5834		3525		5988		3914		3619		5923		3895		2505		Err		3619		Err		
6026		5933		3544		5956		3905		3614		5825		3900		2505		3530		3623		2524		
5984		5904		3525		5961		3966		3633		5900		Err		Err		3525		3614		2524		
Err		5909		3525		5984		3886		3605		5829		3867		2514		3516		3614		2505		
5998		5937		3544		Err		3933		3595		5993		3905		2542		3553		3595		2519		
5988		5933		3544		5993		3867		3619		5886		3886		2528		3507		3605		2481		
6012		5914		3507		5998		3895		3581		5970		3891		2538		Err		3605		2566		
6002		5956		3553		5984		3919		3600		5895		3905		2514		3525		3609		2524		
Err		5975		3525		6002		3886		3609		5918		3895		2505		3539		3590		2533		
5975		5918		3530		6002		3881		3623		5928		3900		2509		3535		3590		2486		
5984		5923		3516		6012		3905		3590		5951		3919		2514		3548		3605		2519		
6021		5909		3544		5998		3881		3637		5890		3942		2682		3525		3609		Err		
6040		5867		3549		5998		3895		3623		5843		Err		2491		3544		3628		2519		
5998		5923		3544		Err		3900		3637		5956		3895		2505		3549		Err		2538		
5998		5858		3516		6012		3923		3609		5923		3914		2509		3549		3614		2500		
5984		5839		3539		6007		3905		3590		5933		3905		2528		3502		3605		2552		
6030		Err		3525		6002		3914		3609		5881		3895		2505		3521		3605		2524		
6021		5942		3549		6030		3900		3605		5867		3909		2538		3521		3590		2524		
6021		5933		3549		6016		3933		3637		5843		3909		2486		3539		3590		2519		
