1 14757 0 0 358968352
1 14794 0 0 358976576
1 14738 0 0 358984784
1 14757 0 0 358993000
1 14738 0 0 359000012
1 14747 0 0 359007040
1 14738 0 0 359014068
1 14785 0 0 359022284
1 14775 0 0 359030500
1 14766 0 0 359038728
1 14860 0 0 359046952
1 14719 0 0 359053980
1 14766 0 0 359061016
1 14747 0 0 359068040
1 14747 0 0 359076248
1 14710 0 0 359084456
1 14775 0 0 359092680
1 14813 0 0 359100892
1 14813 0 0 359107908
1 14654 0 0 359114952
1 14775 0 0 359121972
1 14785 0 0 359130188
1 14785 0 0 359138408
1 14813 0 0 359146608
1 14719 0 0 359154820
1 14738 0 0 359161836
1 14738 0 0 359168864
1 14766 0 0 359175896
1 14738 0 0 359182928
1 14747 0 0 359191164
1 14785 0 0 359199384
1 14785 0 0 359207608
1 14738 0 0 359215832
1 14691 0 0 359222880
1 14766 0 0 359231096
1 14757 0 0 359239328
1 14729 0 0 359247540
1 14822 0 0 359255756
1 14766 0 0 359262792
1 14710 0 0 359269836
1 14813 0 0 359276860
1 14822 0 0 359285084
1 14738 0 0 359293300
1 14785 0 0 359301520
1 14757 0 0 359309728
1 14794 0 0 359316768
1 14794 0 0 359323796
1 14794 0 0 359330824
1 14747 0 0 359339044
1 14700 0 0 359347252
1 14747 0 0 359355452
1 14747 0 0 359363668
1 14757 0 0 359370684
1 14804 0 0 359377708
1 14813 0 0 359384748
1 14775 0 0 359391780
1 14747 0 0 359399996
1 14766 0 0 359408216
1 14766 0 0 359416440
1 14757 0 0 359424660
1 14766 0 0 359431696
1 14804 0 0 359438708
1 14747 0 0 359445736
1 14738 0 0 359453948
0 0 0 0 359462172
1 14747 0 0 359470888
1 14729 0 0 359479108
1 14822 0 0 359487336
1 14841 0 0 359495556
1 14729 0 0 359502584
1 14719 0 0 359509636
1 14804 0 0 359516660
1 14719 0 0 359523676
1 14775 0 0 359531892
1 14804 0 0 359540104
1 14804 0 0 359548312
1 14794 0 0 359556512
1 14738 0 0 359563544
1 14738 0 0 359570576
1 14747 0 0 359577608
1 14794 0 0 359584632
1 14766 0 0 359592852
1 14757 0 0 359601076
1 14700 0 0 359609292
1 14851 0 0 359617508
1 14775 0 0 359624540
1 14747 0 0 359631560
1 14804 0 0 359638592
1 14832 0 0 359646816
1 14775 0 0 359655036
1 14729 0 0 359663260
1 14804 0 0 359671472
1 14766 0 0 359678500
1 14822 0 0 359685528
1 14775 0 0 359692544
1 14775 0 0 359700760
1 14785 0 0 359708968
1 14794 0 0 359717176
1 14813 0 0 359725396
